N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Cerámica Chimu Vasija Monocroma Diseño Sapo 				m02_s01_077_x	Cerámica Chimú Botella escultórica monócroma con diseño de sapo	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	15	10	25	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella con gollete corto y asa lateral, cuerpo escultórico diseño de un sapo. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_077_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma AsaPuente Canino (Perro Peruano)				m02_s01_078_x	Cerámica Chimú Botella escultórica zoomorfa monócroma 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	23	20	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella con gollete tubular alargado y asa estribo tubular, cuerpo escultórico representando la figura de una animal (perro). Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_078_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
																																														
																																														
	SALA 3 : PINACOTECA					SALA 3 : PINACOTECA																																								
	Fundadores de la casa				m02_s03_201_p	Fundadores de la casa: Fray Fulgencio Maldonado  y Andrés Pérez de Castro	Anónimo		No asignado	Evangelizar y rememorar a los fundadores de la Orden religiosa.	Museo  Convento La Recoleta	275	240	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	En la pintura se observa a Fray Fulgencio Maldonado ubicado a la izquierda y a don Andrés Pérez de Castro ubicado a la derecha. Pintura con tendencia barroca que se caracteriza por el uso del claro oscuro.  La escena presenta en el eje central a Jesucristo crucificado y ambos lados del crucifijo se encuentran de rodillas los fundadores de la Orden religiosa, recibiendo el mandato divino que se dirige a ellos en forma de cintas con inscripciones. 	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_201_p	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Profeta Josias				m02_s03_202_x	Profeta Josias	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	183	136	No registra	No registra	No registra	Regular estado de conservación	Oleo sobre lienzo            Escuela cusqueña	No aplica	"Pintura con tendencia barroca, en la que destaca el uso del claro oscuro y predominan los colores tierra.  La imagen muestra al profeta Josías, quien aparentemente se encuentra predicando la doctrina sagrada.  Su mano izquierda reposa sobre un libro abierto que se trataría de las escrituras sagradas y la mano derecha señala al cielo. Sobre el profeta Josìas: Josías en hebreo significa ""Yahvéh me apoya o Yahvéh me ha sanado"" fue rey de Judá entre 639 y 608 antes de Cristo e instituyó reformas importantes. En su reinado se inició la recopilación y edición del  libro del Deuteronomio bajo el liderazgo religioso del profeta Jeremías."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_202_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Profeta Samuel				m02_s03_203_x	Profeta Samuel	Anónimo		No asignado	Evangelizar  visualmente 	Museo  Convento La Recoleta	183	136	No registra	No registra	No registra	Regular estado de conservación	Oleo sobre lienzo            Escuela cusqueña	No aplica	"Pintura con tendencia barroca, en la que destaca el uso del claro oscuro y predominan los colores tierra y el azul y rojo.  La imagen muestra al profeta Samuel, quien porta en la mano izquierda una cornucopia, símbolo de riqueza, dirigiéndola al cielo.  Desde el sentido religioso se trataría de simbolizar la riqueza espiritual proveniente del cielo.  Sobre el profeta Samuel: Samuel nació en respuesta a las oraciones de su madre. Todavía siendo niño, el Señor llamó a Samuel como profeta . Llegó a ser el gran profeta y juez de Israel, quien restauró la ley, el orden y la adoración religiosa en la tierra.
El nombre de Samuel significa “escuchado por Dios” o también puede significar “nombre de Dios”
Cuando los israelitas clamaron a Dios por ayuda contra los opresores filisteos, Samuel les instruyó a liberarse de los falsos dioses que habían estado adorando. Con el liderazgo de Samuel, y por el poder de Dios, pudieron derrotar a los filisteos."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_203_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
1	Profeta Jeremías				m02_s03_204_x	Profeta Jeremías	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	183	136	No registra	No registra	No registra	Regular estado de conservación	Oleo sobre lienzo            Escuela cusqueña	"Se llama ""profeta"" al que trae mensajes de Dios."	"Pintura de la escuela cusqueña,  con tendencia barroca, en la que destaca el uso del claro oscuro, resaltando el manto en color rojo.  La imagen muestra al profeta Jeremias, quien se encuentra representado en señal de oración en frente de un libro sagrado. Sobre el profeta Jeremías: hijo del sacerdote Hilcías. Jeremías vivió entre el 650-585 antes de Cristo,  en Judá, Jerusalén, Babilonia y Egipto. La labor de Jeremías el profeta fue llamar al arrepentimiento al reino de Judá y, principalmente, a los reyes Josías, Joacim, debido al castigo impuesto por Yahvéh de que serían conquistados por los caldeos si no volvían su corazón hacia Dios.
Jeremías procede del hebreo y significa «Dios pone orden». "	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_204_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Moises				m02_s03_205_x	Moisés	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	183	136	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	Pintura  con tendencia barroca, en la que destaca el uso del claro oscuro. La imagen muestra al profeta Moisés  con las características iconográficas que lo representan. Sobre Moisés: Moisés ​ es el profeta más importante para el judaísmo, liberador del pueblo hebreo de la esclavitud de Egipto y encargado por Dios de entregar la Ley escrita y, según los rabinos, la Ley oral.  El cristianismo heredó esta imagen de Moisés, a quien venera como redentor y legislador y, por ello, anticipo de Cristo. En ambas tradiciones, Moisés es el autor del Pentateuco, los cinco primeros libros de la Biblia.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_205_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Salomoón				m02_s03_206_x	Salomón	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	183	186	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	En el Antiguo Testamento los profetas se dividen en dos clases: Profetas mayores, los que redactaron escritos más largos. Estos son Isaías y Jeremías, Ezequiel y Daniel. Y Profetas Menores, los que redactaron escritos más breves. Estos son 12. Por ej. Oseas y Miqueas. Sofonías, Zacarías, Abdías y Malaquías. Joel y Amos, etc.	"Pintura con tendencia barroca, en la que predomina el uso del claro oscuro. La imagen muestra al rey Salomón, ataviado con traje real y su corona,  como recibiendo una iluminación celestial, representada por una luz que viene de lo alto.  El profeta entonces escribe en un texto los mensajes divinos de sabiduría, por los que es conocido. Sobre Salomón: Salomón fue según la Biblia el tercer y último monarca del reino unido de Israel (es decir, antes de la separación del territorio israelita en los reinos de Judá e Israel). Hijo del rey David, gobernó sobre un extenso territorio durante casi cuatro décadas, posiblemente entre los años 965 y 928 antes de Cristo. Recibió de Dios el don de la sabiduría. Durante el reinado de Salomón se construyó el primer Templo de Jerusalén y a él se le atribuye la autoría de los textos bíblicos titulados Libro de Eclesiastés, Libro de los Proverbios y Cantar de los Cantares.
Salomón de acuerdo a su nombre, fue un rey pacífico, que se mantuvo en buenos términos con los soberanos vecinos y fue aliado del Hiram I de Tiro, quien lo auxilió en muchas de sus empresas.

"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_206_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	San Agustin				m02_s03_207_x	San Agustín	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	150	120	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	Pintura destacando los decorados en oro, en.  Muestra a San Agustín, doctor de la Iglesia, ataviado con su traje de autoridad eclesiástica, porta en la cabeza un mitra y en el cuerpo una capa con detalles dorados, los cuales dan fe de su importancia.  Se aprecia una mesa cubierta con un paño rojo, donde aparece probablemente una Biblia, la cual serviría de base para escribir su doctrina.  Señal de esto se vislumbra en la pluma y el texto que sostiene con su mano derecha, mientras que la izquierda se extiende en señal de admiración.	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_207_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Hallazgo de San Francisco				m02_s03_208_x	Hallazgo de San Francisco de Asis	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	210	158	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	Pintura estilo manierista, destacándose el uso del claro oscuro.  La escena muestra un pasaje de la vida del San Francisco de Asís; reúne a cuatro  personajes de la Iglesia ubicados delante del santo, quien lleva los estigmas de Cristo en la mano. Los personajes aparecen en señal de recogimiento.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_208_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	San Gerónimo				m02_s03_209_x	San Jerónimo	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	150	120	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	Pintura destacando los decorados en oro. Muestra a San Gerónimo, ataviado con su traje de autoridad eclesiástica, portando en la mano izquierda una gorra y en el cuerpo una capa con detalles dorados, los cuales dan fe de su importancia.  Se aprecia una mesa sobre la cual reposa un cuaderno en el cual escribe el santo ayudado de una pluma.  Aparentemente sus escritos están inspirados en algún mensaje que está recibiendo del cielo,  representado por una trompeta que aparece iluminada en el cielo.	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_209_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	San Ambrosio				m02_s03_210_x	San Ambrosio	Desconocido		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	150	120	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	Pintura destacando los decorados en oro.  Muestra a San Ambrosio,  ataviado con su traje de autoridad eclesiástica, porta en la cabeza un mitra y en el cuerpo una capa con detalles dorados, los cuales dan fe de su importancia.  El santo está exhibiendo un libro sostenido con sus dos manos.	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_210_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Sagrada Familia / San Juan				m02_s03_211_x	Sagrada Familia / San Juan	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	233	190	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	La escena  reúne a la Virgen María, quien sostiene al niño Jesús con su mano derecha, a San José  quien reposa a su lado con la mirada a dos ángeles que vuelan por el cielo mirando al niño y llevando rosas rosadas,  y a otro niño que se encuentra a los pies de la Virgen sosteniendo un crucifijo que lleva una cinta con un mensaje, el niño está extendiendo su mano izquierda hacia el Niño Jesús quien aparentemente le está alcanzando unas flores que seguramente les fueron enviadas por los ángeles. Completa la obra un paisaje que sirve de fondo, con árboles y rosas rosadas y la flores de liz o lirio blanco, que simbolizan la virginidad, inocencia y pureza. También representa a la luz, elemento imprescindible en la religión cristiana	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_211_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
