DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Toribio Pacheco y Rivero. Jurista, diplomático, político, ministro de Relaciones Exteriores. Participo en la dictura de Mariano Ignacio Prado. Y participó en una campaña diplomática en la guerra hispano-sudamericana	6	p		m01_s06_154	Toribio Pacheco y Rivero	Desconocido	396439000268 (078)	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	110 cm	88 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra:  Se observa a un hombre (plano medio), con el rostro (cabello negro, frente amplia) y cuerpo ligeramente volteado a la derecha, viste terno (saco negro, camisa blanca con cuello smoking y corbata de lazo negra), el  brazo izquierdo esta dobldo  y sujetándose del chaleco. Sobre el personaje: Torbio Pacheco y Rivero nacido en Arequipa en 1828; falleció en el año de 1868. Jurista diplomático, político ministro de Relaciones Exteriores. Participó en la dictadura de Mariano Ignacio Prado. Y Participó en la guerra hispano-sudamericana	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_154	c_11/02_07; c_11/02_08	Pinturas de arte fino	Pinturas de Arte fino - óleos de retratos históricos; Pinturas de arte fino - oleos de personajes célbres			
Jacinto Ibáñez. Mecánico, relojero de la Catedral. Introdujo la imprenta artesanal en 1821 y fundador de los periódicos.	6	p		m01_s06_155	Jacinto Ibáñez	Alcázar	396439000552 (066)	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	86 cm	70 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra: Se observa un hombre (plano medio), con el rostro (cabello blanco, frente amplia y patillas blancas) y cuerpo ligeramente volteado a la derecha, viste un terno (saco negro, camisa blanca con cuello smoking y corbata a lazo negra). La pintura muestra al personaje probablemente en la época de la transición de la colonia a la Independencia. Sobre el personaje: Jacinto Ibáñez nació en Arequipa el año 1780 y falleció el año 1862. Estudió Filosofía, pero luego se dedicó a la mecánica, llegando a ser el relojero de la Catedral. Introdujo la imprenta artesanal en 1821, utilizando su imprenta como un medio para difundir propagandas a favor de la libertad política y la independencia del Perú. y fue fundador de los periódicos, siendo el primero titulado ""La primavera de Arequipa, mañanas de la Independencia"" el cual es considerado el primer periódico que se edito en Arequipa."	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_155	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Manuel Castillo Vizcarra. Poeta, cultivó las ciencias y letras, afiliado al gobierno de Salaverry. Peleó contra el gral. Santa Cruz en 1869.	6	p		m01_s06_156	Manuel Castillo Vizcarra	Desconocido	396439000527	Homenaje a la labor intelectual, literaria  y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	103 cm	77 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: Se observa un hombre (plano medio), con el rostro (cabello blanco y negro, frente amplia) y cuerpo ligeramente volteado a la izquierda, viste un terno (saco negro, camisa blanca con cuello smoking y corbata a lazo negra), tiene los brazos cruzados (a la altura del pecho).  Sobre el personaje: Manuel Castillo nació en Arequipa el año de 1814 y murió en 1871. Fue un destacado poeta, cultivó las ciencias y letras, afiliado al gobierno de Salaverry. Peleó contra el general Santa Cruz en 1869.	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_156	c_11/02_07; c_11/02_08	Pinturas de arte fino	Pinturas de Arte fino - óleos de retratos históricos; Pinturas de arte fino - oleos de personajes célbres			
José Simeón Tejada Mares. Jurista, político, Ministro de Estado en el Gobierno de Ignacio Prado. Famoso abogado de los pobres. Luchó al lado de Castilla.	6	p		m01_s06_157	José Simeón Tejada Mares	Desconocido	39643900-0077 (077)	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	103 cm	77 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: Se observa un hombre (plano medio), con el rostro (cabello negro, frente amplia y barba negra) y cuerpo ligeramente volteado a la izquierda, viste un terno (saco negro, chaleco negro, camisa blanca con cuello smoking y corbata a lazo negra). Sobre el personaje :José Simeón Tejeda Mares nació en Andaray, Perú, en el año de 1826, falleció en Lima en el de 1873. Fue político y abogado peruano. Ministro de Justicia e Instrucción del Perú en 1864 y Secretario del mismo portafolio entre 1865 y 1867, integrando el llamado «Gabinete de los Talentos», bajo la dictadura de Mariano Ignacio Prado y en pleno conflicto con España. Se contó entre los fundadores del Partido Civil. Presidió la Cámara de Diputados en 1872 y fue alcalde de Lima en 1873.	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_157	c_11/02_07; c_11/02_08	Pinturas de arte fino	Pinturas de Arte fino - óleos de retratos históricos; Pinturas de arte fino - oleos de personajes célbres			
Lucas Poblete y sus dos hijos. Arquitecto que reconstruyó la catedral en el estilo toscano, después del incendio que sufrió en 1844. Construyéndose la Catedral en la época del rey Carlos V de España.	6	p		m01_s06_158	Lucas Poblete y sus dos hijos	Desconocido	396439000223	Homenaje a la labor intelectual, arquitectónica y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	101 cm	92 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: La pintura muestra a un hombre de frente amplia y cabeza cuadrada, mirada penetrante y bastante seria, cejas poco pobladas, nariz larga y puntiaguda, orejas cubiertas por el cabello, tez blanca/moreno, afeitado, y bien ataviado, camisa blanca, corbatín y traje oscuro; está cargando a una niña pequeña (con  cabello negro, frente amplia, lleva puesto un vestido blanco y gris, abrigo gris con bordes negros) a la que sostiene con su brazo derecho  y con su brazo izquierdo esta abrazando a una niña (con  cabello negro, frente amplia, lleva puesto un vestido blanco y gris, abrigo gris con bordes negros)  Sobre el personaje:  Lucas Poblete, nacido en Arequipa entre los años 1805 y 1815 y fallecido en 1976, fue uno de los personajes más admirados, reconocidos y respetados de la ciudad de Arequipa, por el vasto trabajo que realizó en la arquitectura de la ciudad en la segunda mitad del Siglo XIX.  Dentro de sus obras se registra que fue el arquitecto (sin mucho estudio pero con muchísimo talento) encargado de reconstruir el monumento más destacado de Arequipa, como es la Catedral;  en 1842 construye la torre de la catedral donde está ubicado su reloj de pared.  Asume el enncargo de la reconstrucción de la catedral luego de haber sufrido un incendio en 1844. En 1868 se sucede en Arequipa uno de los terremotos más destructivos,  y Lucas Poblete se encarga de la reconstrucción de la catedral que inicia en 1869.  Se cuenta que muchas de las obras que realizó este personaje fueron ad-honorem como contribución a su querida tierra. 	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_158	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Dean Juan Gualberto Valdivia Cornejo. Abogado, historiador, político, contribuyó con la gesta del Colegio Independencia Americana. Rector de la Universidad Nacional de San Agustín en 1868 a 1869 y caudillo civil.	6	p		m01_s06_159	Dean Juan Gualberto Valdivia Cornejo	Martínez Málaga, Víctor	No asignado	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	93 cm	70 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra:  En la pintura se observa un hombre (plano tres cuartos), con el rostro (cabello blanco, frente amplia y lleva puesto un gorro frigio negro) y cuerpo ligeramente volteado a la derecha, viste un traje una túnica (color negro), su brazo derecho se encuentra apoyado en una estante (donde hay un libro abierto), su mano izquierda sostiene un bastón (color café). Sobre el personaje:  nació en Islay, Arequipa el 12 de julio de 1796 y falleció en 1884. Ingresó a la vida religiosa en el Seminario de San Gerónimo.  Valdivia fue diputado por Arequipa a la Convención Nacional en 1855. En 1856, fue elegido Deán del cabildo Metropolitano de la catedral de Arequipa.	1937	p_04_04	Moderno	1937	1937	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_159	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Mariano Felipe Paz Soldán, historiador de la República. Geógrafo, educador, constructor. Erigió la estatua de Simón Bolivar	6	p		m01_s06_160	Mariano Felipe Paz Soldán	Desconocido	396439000343 (076)	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	290 cm	173 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: En la pintura se observa la imagen de un hombre (plano medio) su rostro (cabello blanco, barba y frente amplia) está mirando de frente y su cuerpo está ligeramente volteado hacia la izquierda; viste terno (saco negro, camisa blanca con cuello smoking y corbata de lazo negro). Sobre el personaje: Mariano Paz Soldán nació en Arequipa en el año de 1821 , fue historiador de la República. Geógrafo, educador, constructor. Erigió la estatua de Simón Bolívar.	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_160	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Mariano T. Docarmo. Educador, abogado, miembro del Concejo Provincial de Arequipa. Catedrático en 1844. Abrió el colegio ubicado en la calle Rivero. 	6	p		m01_s06_161	Mariano T. Docarmo	Martínez Málaga, Víctor 	396439000151	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	103 cm	63 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: En la pintura se observa un hombre (plano medio), con el rostro (cabello blanco y  negro, frente amplia, bigotes y barba) y cuerpo ligeramente volteado a la derecha, viste un terno (saco negro, camisa blanca con cuello smoking y lleva una medalla colgada en el cuello). Sobre el artista: Víctor Martínez Málaga nació en Arequipa el año de 1890 y falleció el año de 1976.  fue un pintor figurativo peruano, especialmente apreciado por sus retratos y paisajes del sur andino. Dirigió también la Escuela Regional de Bellas Artes “Carlos Baca Flor” de Arequipa. Sobre el personaje: Mariano T. Docarmo nació en Arequipa el año 1842 y falleció en 1916.  Fue educador, abogado, miembro del Concejo Provincial de Arequipa. Catedrático en 1844.  	1938	p_04_04	Moderno	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_161	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Víctor Nazario Morales Salas. Rector de la Universidad San Agustín.	6	p		m01_s06_162	Víctor Nazario Morales Salas	Desconocido	396439000242	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	93 cm	71 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo, restaurado a la cera en la década del 70.	Sobre la obra: En la pintura se observa un hombre (plano medio), con el rostro (cabello negro y blanco, frente amplia, bigotes y barba negra y blanca) ligeramente volteado a la izquierda, viste un terno (saco negro, chaleco negro, camisa blanca con cuello smoking y corbata a lazo blanca), lleva una medalla (con una cinta blanca con bordes rojos) colgada en el cuello. Sobre el personaje: nació en Arequipa en el año de  1859, falleció en el año de 1916. Fue Magistrado, educador, Rector de la Universidad nacional de San Agustín. ... En lo judicial, fue Agente Fiscal y vocal de la Corte Superior de Arequipa llegando a ser su presidente en 1911.	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_162	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Luis Dúnker la Valle. Músico, educador, astrónomo. Fundador de la música mestiza; dominaba los idiomas  inglés y alemán.	6	p		m01_s06_163	Luis Dúnker la Valle	Martínez Málaga, Víctor	396439000376 (240)	Homenaje a la labor intelectual, musical  y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	104 cm	79 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: En la pintura se observa un hombre (plano medio), con el rostro (cabello rojo, frente amplia, bigotes y barba rojos) y cuerpo ligeramente volteado a la derecha, viste un terno (saco negro, camisa blanca y corbata azul). Sobre el artista: Víctor Martínez Málaga nació en Arequipa el año de 1890 y falleció el año de 1976.  fue un pintor figurativo peruano, especialmente apreciado por sus retratos y paisajes del sur andino. Dirigió también la Escuela Regional de Bellas Artes “Carlos Baca Flor” de Arequipa.  Sobre el personaje: Luis Dúnker la Valle nació en Arequipa el año de 1874 y murió en 1922.  Fue músico, educador, astrónomo. Fundador de la música mestiza; dominaba los idiomas  inglés y alemán.	1923	p_04_04	Moderno	1923	1923	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_163	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
